datetime,DCE.jd2005.open,DCE.jd2005.high,DCE.jd2005.low,DCE.jd2005.close,DCE.jd2005.volume,DCE.jd2005.open_oi,DCE.jd2005.close_oi
2020-02-17 00:00:00.000000000,3260.0,3359.0,3244.0,3346.0,612451,286969,280537
2020-02-18 00:00:00.000000000,3346.0,3383.0,3324.0,3363.0,528415,280537,284401
2020-02-19 00:00:00.000000000,3377.0,3486.0,3372.0,3476.0,792745,284401,287072
2020-02-20 00:00:00.000000000,3485.0,3534.0,3445.0,3491.0,902421,287072,259245
2020-02-21 00:00:00.000000000,3498.0,3563.0,3468.0,3560.0,675948,259245,253413
2020-02-24 00:00:00.000000000,3555.0,3586.0,3507.0,3537.0,666282,253413,250924
2020-02-25 00:00:00.000000000,3515.0,3538.0,3465.0,3521.0,788427,250924,244318
2020-02-26 00:00:00.000000000,3515.0,3547.0,3492.0,3509.0,569312,244318,246261
2020-02-27 00:00:00.000000000,3500.0,3509.0,3362.0,3367.0,736078,246261,255461
2020-02-28 00:00:00.000000000,3333.0,3355.0,3268.0,3268.0,659492,255461,230681
2020-03-02 00:00:00.000000000,3302.0,3464.0,3300.0,3461.0,811096,230681,218812
2020-03-03 00:00:00.000000000,3491.0,3532.0,3405.0,3441.0,718918,218812,225645
2020-03-04 00:00:00.000000000,3456.0,3484.0,3373.0,3473.0,775583,225645,230925
2020-03-05 00:00:00.000000000,3482.0,3496.0,3433.0,3440.0,658352,230925,246529
2020-03-06 00:00:00.000000000,3405.0,3438.0,3354.0,3394.0,668600,246529,242458
2020-03-09 00:00:00.000000000,3350.0,3450.0,3305.0,3414.0,619368,242458,218073
2020-03-10 00:00:00.000000000,3435.0,3450.0,3371.0,3382.0,391067,218073,217596
2020-03-11 00:00:00.000000000,3381.0,3395.0,3280.0,3281.0,491140,217596,244626
2020-03-12 00:00:00.000000000,3270.0,3296.0,3164.0,3215.0,528818,244626,238660
2020-03-13 00:00:00.000000000,3199.0,3238.0,3112.0,3210.0,492142,238660,213449
2020-03-16 00:00:00.000000000,3221.0,3258.0,3177.0,3205.0,377273,213449,214352
2020-03-17 00:00:00.000000000,3200.0,3237.0,3170.0,3205.0,297230,214352,212360
2020-03-18 00:00:00.000000000,3211.0,3235.0,3066.0,3092.0,472490,212360,221559
2020-03-19 00:00:00.000000000,3092.0,3118.0,3000.0,3098.0,438464,221559,188006
2020-03-20 00:00:00.000000000,3099.0,3125.0,3011.0,3026.0,410022,188006,212195
2020-03-23 00:00:00.000000000,2998.0,3069.0,2951.0,3036.0,366891,212195,205698
2020-03-24 00:00:00.000000000,3073.0,3082.0,3012.0,3041.0,262785,205698,206318
2020-03-25 00:00:00.000000000,3048.0,3060.0,2990.0,3019.0,307158,206318,224155
2020-03-26 00:00:00.000000000,2973.0,3070.0,2956.0,3055.0,369874,224155,207372
2020-03-27 00:00:00.000000000,3050.0,3085.0,2991.0,2996.0,368160,207372,220115
2020-03-30 00:00:00.000000000,3017.0,3048.0,2970.0,2993.0,339107,220115,211616
2020-03-31 00:00:00.000000000,3011.0,3036.0,3001.0,3033.0,267530,211616,187317
2020-04-01 00:00:00.000000000,3048.0,3074.0,3012.0,3040.0,266186,187317,174083
2020-04-02 00:00:00.000000000,3044.0,3065.0,3006.0,3059.0,222317,174083,157084
2020-04-03 00:00:00.000000000,3068.0,3124.0,3031.0,3113.0,322195,157084,138760
2020-04-07 00:00:00.000000000,3201.0,3298.0,3173.0,3269.0,346965,138760,111878
2020-04-08 00:00:00.000000000,3268.0,3287.0,3217.0,3232.0,188380,111878,102462
2020-04-09 00:00:00.000000000,3255.0,3345.0,3235.0,3319.0,253107,102462,93190
2020-04-10 00:00:00.000000000,3311.0,3313.0,3264.0,3284.0,89469,93190,76682
2020-04-13 00:00:00.000000000,3400.0,3400.0,3251.0,3262.0,89655,76682,58708
2020-04-14 00:00:00.000000000,3260.0,3295.0,3233.0,3256.0,44751,58708,48870
2020-04-15 00:00:00.000000000,3252.0,3311.0,3233.0,3290.0,39444,48870,40146
2020-04-16 00:00:00.000000000,3290.0,3295.0,3202.0,3209.0,27350,40146,36896
2020-04-17 00:00:00.000000000,3201.0,3281.0,3201.0,3278.0,21800,36896,33699
2020-04-20 00:00:00.000000000,3250.0,3263.0,3161.0,3183.0,24376,33699,30748
2020-04-21 00:00:00.000000000,3150.0,3187.0,3135.0,3175.0,11118,30748,27383
2020-04-22 00:00:00.000000000,3140.0,3156.0,3074.0,3085.0,13461,27383,23451
2020-04-23 00:00:00.000000000,3044.0,3139.0,3044.0,3130.0,10140,23451,20810
2020-04-24 00:00:00.000000000,3083.0,3130.0,3080.0,3091.0,7781,20810,18401
2020-04-27 00:00:00.000000000,3081.0,3099.0,3025.0,3040.0,9374,18401,16191
2020-04-28 00:00:00.000000000,3020.0,3026.0,2949.0,2990.0,10601,16191,11964
2020-04-29 00:00:00.000000000,2956.0,2958.0,2840.0,2870.0,14278,11964,7555
2020-04-30 00:00:00.000000000,2831.0,2950.0,2801.0,2929.0,11937,7555,576
2020-05-06 00:00:00.000000000,2718.0,2837.0,2651.0,2758.0,498,576,326
2020-05-07 00:00:00.000000000,2800.0,2800.0,2660.0,2660.0,74,326,282
2020-05-08 00:00:00.000000000,2729.0,2730.0,2729.0,2730.0,5,282,281
2020-05-11 00:00:00.000000000,2750.0,2750.0,2734.0,2750.0,27,281,276
2020-05-12 00:00:00.000000000,2679.0,2757.0,2678.0,2700.0,17,276,265
2020-05-13 00:00:00.000000000,2700.0,2700.0,2606.0,2606.0,42,265,238
2020-05-14 00:00:00.000000000,2644.0,2644.0,2581.0,2582.0,10,238,195
2020-05-15 00:00:00.000000000,2620.0,2660.0,2600.0,2650.0,17,195,170
2020-05-18 00:00:00.000000000,2648.0,2656.0,2554.0,2560.0,25,170,158
2020-05-19 00:00:00.000000000,2535.0,2535.0,2535.0,2535.0,1,158,158
2020-05-20 00:00:00.000000000,2501.0,2626.0,2480.0,2513.0,102,158,121
2020-05-21 00:00:00.000000000,2530.0,2550.0,2530.0,2530.0,36,121,97
2020-05-22 00:00:00.000000000,2540.0,2665.0,2506.0,2506.0,42,97,63
